Season,Team,Win_Pct,Off_Rating,Def_Rating,ThreeP_Pct,MadePlayoffs
2025-26,Boston Celtics,0.642,120,112.7,0.55,1
2025-26,New York Knicks,0.642,118.6,113.1,0.553,1
2025-26,Toronto Raptors,0.593,114,112.1,0.538,1
2025-26,Philadelphia 76ers,0.577,115.4,113.8,0.533,1
2025-26,Brooklyn Nets,0.275,110.5,118,0.525,0
2024-25,Boston Celtics,0.744,119.5,110.1,0.561,1
2024-25,New York Knicks,0.622,117.3,113.3,0.556,1
2024-25,Toronto Raptors,0.366,109.6,113.6,0.522,0
2024-25,Brooklyn Nets,0.317,108.1,115.4,0.516,0
2024-25,Philadelphia 76ers,0.293,111,117.3,0.527,0
2023-24,Boston Celtics,0.78,122.2,110.6,0.578,1
2023-24,New York Knicks,0.61,117.3,112.4,0.54,1
2023-24,Philadelphia 76ers,0.573,116.2,113,0.532,1
2023-24,Brooklyn Nets,0.39,112.4,115.4,0.531,0
2023-24,Toronto Raptors,0.305,111.8,118.1,0.535,0
2022-23,Boston Celtics,0.695,117.3,110.6,0.566,1
2022-23,Philadelphia 76ers,0.659,117,112.7,0.563,1
2022-23,New York Knicks,0.573,117,114.2,0.541,1
2022-23,Brooklyn Nets,0.549,114.6,113.5,0.562,1
2022-23,Toronto Raptors,0.5,114.6,113.1,0.517,0
2021-22,Boston Celtics,0.622,113.6,106.2,0.542,1
2021-22,Philadelphia 76ers,0.622,113,110.2,0.534,1
2021-22,Toronto Raptors,0.585,112.1,109.9,0.51,1
2021-22,Brooklyn Nets,0.537,113.2,112.3,0.54,1
2021-22,New York Knicks,0.451,109.7,110.2,0.513,0
2020-21,Philadelphia 76ers,0.681,112.5,107,0.541,1
2020-21,Brooklyn Nets,0.667,117.3,113.1,0.575,1
2020-21,New York Knicks,0.569,110.2,107.8,0.524,1
2020-21,Boston Celtics,0.5,113.1,111.8,0.543,0
2020-21,Toronto Raptors,0.375,111.6,112,0.529,0
2019-20,Toronto Raptors,0.736,110.8,104.7,0.536,1
2019-20,Boston Celtics,0.667,112.8,106.5,0.531,1
2019-20,Philadelphia 76ers,0.589,110.7,108.4,0.534,1
2019-20,Brooklyn Nets,0.486,108.7,109.2,0.52,0
2019-20,New York Knicks,0.318,105.9,112.4,0.501,0
2018-19,Toronto Raptors,0.707,112.6,106.8,0.543,1
2018-19,Philadelphia 76ers,0.622,111.6,109,0.532,1
2018-19,Boston Celtics,0.598,111.3,107,0.534,1
2018-19,Brooklyn Nets,0.512,108.9,109,0.52,1
2018-19,New York Knicks,0.207,104,112.9,0.49,0
2017-18,Toronto Raptors,0.72,113,105.3,0.539,1
2017-18,Boston Celtics,0.671,106.8,103.2,0.518,1
2017-18,Philadelphia 76ers,0.634,108.5,103.9,0.535,1
2017-18,New York Knicks,0.354,106.3,109.7,0.51,0
2017-18,Brooklyn Nets,0.341,106.1,109.7,0.514,0
2016-17,Boston Celtics,0.646,110.6,108,0.525,1
2016-17,Toronto Raptors,0.622,111.4,107.1,0.517,1
2016-17,New York Knicks,0.378,107.1,110.7,0.496,0
2016-17,Philadelphia 76ers,0.341,102.7,108.2,0.501,0
2016-17,Brooklyn Nets,0.244,103.6,110.1,0.507,0
