Team,Wins,Losses,ThreePointPct,DefensiveRating,MadePlayoffs
Chicago Bulls,62,20,36.1,97.7,1
Miami Heat,58,24,37.0,101.3,1
Boston Celtics,56,26,36.5,98.2,1
Orlando Magic,52,30,36.6,99.9,1
Atlanta Hawks,44,38,35.2,104.1,1
New York Knicks,42,40,36.8,107.6,1
Philadelphia 76ers,41,41,35.5,102.5,1
Indiana Pacers,37,45,35.4,103.0,1
Milwaukee Bucks,35,47,34.2,99.9,0
Charlotte Bobcats,34,48,32.7,105.1,0
Detroit Pistons,30,52,37.6,108.5,0
New Jersey Nets,24,58,34.3,106.8,0
Washington Wizards,23,59,33.2,107.1,0
Toronto Raptors,22,60,31.6,109.8,0
Cleveland Cavaliers,19,63,34.2,108.8,0
San Antonio Spurs,61,21,39.7,103.4,1
Dallas Mavericks,57,25,36.5,103.0,1
Los Angeles Lakers,57,25,35.2,101.4,1
Oklahoma City Thunder,55,27,34.7,104.6,1
Denver Nuggets,50,32,38.8,104.6,1
Portland Trail Blazers,48,34,34.5,103.9,1
New Orleans Hornets,46,36,36.0,102.9,1
Memphis Grizzlies,46,36,33.4,102.0,1
Houston Rockets,43,39,36.7,105.8,0
Phoenix Suns,40,42,37.7,107.9,0
Utah Jazz,39,43,34.6,106.8,0
Golden State Warriors,36,46,39.2,107.9,0
Los Angeles Clippers,32,50,33.8,105.1,0
Sacramento Kings,24,58,33.5,106.0,0
Minnesota Timberwolves,17,65,37.6,107.7,0
Chicago Bulls,50,16,37.5,95.7,1
Miami Heat,46,20,35.9,98.0,1
Indiana Pacers,42,24,36.8,100.0,1
Atlanta Hawks,40,26,37.0,98.7,1
Boston Celtics,39,27,36.7,96.2,1
Orlando Magic,37,29,37.5,101.6,1
New York Knicks,36,30,33.6,98.1,1
Philadelphia 76ers,35,31,36.2,97.1,1
Milwaukee Bucks,31,35,34.5,102.1,0
Detroit Pistons,25,41,34.6,102.9,0
Toronto Raptors,23,43,34.0,102.1,0
New Jersey Nets,22,44,34.2,106.1,0
Cleveland Cavaliers,21,45,34.6,105.7,0
Washington Wizards,20,46,32.0,102.8,0
Charlotte Bobcats,7,59,29.5,107.1,0
San Antonio Spurs,50,16,39.3,101.0,1
Oklahoma City Thunder,47,19,35.8,100.8,1
Los Angeles Lakers,41,25,32.6,101.8,1
Memphis Grizzlies,41,25,32.6,98.8,1
Los Angeles Clippers,40,26,35.7,102.4,1
Denver Nuggets,38,28,33.2,103.5,1
Dallas Mavericks,36,30,33.9,100.0,1
Utah Jazz,36,30,32.3,103.1,1
Houston Rockets,34,32,35.9,102.5,0
Phoenix Suns,33,33,34.3,103.8,0
Portland Trail Blazers,28,38,34.6,103.4,0
Minnesota Timberwolves,26,40,33.2,103.8,0
Golden State Warriors,23,43,38.8,106.7,0
Sacramento Kings,22,44,31.6,106.8,0
New Orleans Hornets,21,45,33.3,102.4,0
Miami Heat,66,16,39.6,101.9,1
New York Knicks,54,28,37.6,104.0,1
Brooklyn Nets,49,33,35.7,103.1,1
Indiana Pacers,49,32,34.7,97.3,1
Chicago Bulls,45,37,35.3,100.1,1
Atlanta Hawks,44,38,37.1,102.3,1
Boston Celtics,41,40,35.8,101.3,1
Milwaukee Bucks,38,44,36.0,102.5,1
Philadelphia 76ers,34,48,36.0,103.1,0
Toronto Raptors,34,48,34.3,104.5,0
Washington Wizards,29,53,36.5,100.5,0
Detroit Pistons,29,53,35.6,105.1,0
Cleveland Cavaliers,24,58,34.6,105.7,0
Charlotte Bobcats,21,61,33.5,108.0,0
Orlando Magic,20,62,32.9,106.3,0
Oklahoma City Thunder,60,22,37.7,100.6,1
San Antonio Spurs,58,24,37.6,99.4,1
Denver Nuggets,57,25,34.3,102.4,1
Los Angeles Clippers,56,26,35.8,100.8,1
Memphis Grizzlies,56,26,34.5,97.2,1
Golden State Warriors,47,35,40.3,103.3,1
Houston Rockets,45,37,36.6,103.2,1
Los Angeles Lakers,45,37,35.5,104.4,1
Utah Jazz,43,39,36.6,103.7,0
Dallas Mavericks,41,41,37.2,104.2,0
Portland Trail Blazers,33,49,35.3,106.1,0
Minnesota Timberwolves,31,51,30.5,102.6,0
Sacramento Kings,28,54,36.3,108.0,0
New Orleans Hornets,27,55,36.3,106.9,0
Phoenix Suns,25,57,33.0,104.9,0
Indiana Pacers,56,26,35.7,96.9,1
Miami Heat,54,28,36.4,104.0,1
Toronto Raptors,48,34,37.2,102.5,1
Chicago Bulls,48,34,34.8,97.7,1
Washington Wizards,44,38,38.0,102.0,1
Brooklyn Nets,44,38,36.9,105.4,1
Charlotte Bobcats,43,39,35.1,101.5,1
Atlanta Hawks,38,44,36.3,103.9,1
New York Knicks,37,45,37.2,106.3,0
Cleveland Cavaliers,33,49,35.6,104.7,0
Detroit Pistons,29,53,32.1,106.7,0
Boston Celtics,25,57,33.3,104.3,0
Orlando Magic,23,59,35.3,104.9,0
Philadelphia 76ers,19,63,31.2,106.9,0
Milwaukee Bucks,15,67,35.3,108.8,0
San Antonio Spurs,62,20,39.7,100.3,1
Oklahoma City Thunder,59,23,36.1,101.6,1
Los Angeles Clippers,57,25,35.2,102.3,1
Portland Trail Blazers,54,28,37.2,104.2,1
Houston Rockets,54,28,35.8,104.0,1
Golden State Warriors,51,31,38.0,100.5,1
Memphis Grizzlies,50,32,35.3,101.6,1
Dallas Mavericks,49,33,38.4,106.5,1
Phoenix Suns,48,34,37.2,104.4,0
Minnesota Timberwolves,40,42,34.1,102.9,0
Denver Nuggets,36,46,35.8,105.4,0
New Orleans Pelicans,34,48,37.3,107.6,0
Sacramento Kings,28,54,33.3,105.9,0
Los Angeles Lakers,27,55,38.1,108.2,0
Utah Jazz,25,57,34.4,108.2,0
Atlanta Hawks,60,22,38.0,100.6,1
Cleveland Cavaliers,53,29,36.7,103.1,1
Chicago Bulls,50,32,35.3,101.6,1
Toronto Raptors,49,33,35.2,104.9,1
Washington Wizards,46,36,36.0,101.1,1
Milwaukee Bucks,41,41,36.3,100.1,1
Boston Celtics,40,42,32.7,101.6,1
Indiana Pacers,38,44,35.2,100.5,1
Brooklyn Nets,38,44,33.1,104.9,0
Miami Heat,37,45,33.5,104.3,0
Charlotte Hornets,33,49,31.8,100.9,0
Detroit Pistons,32,50,34.4,103.3,0
Orlando Magic,25,57,34.7,105.5,0
Philadelphia 76ers,18,64,32.0,102.1,0
New York Knicks,17,65,34.7,107.0,0
Golden State Warriors,67,15,39.8,99.6,1
Los Angeles Clippers,56,26,37.6,103.1,1
Houston Rockets,56,26,34.8,100.8,1
San Antonio Spurs,55,27,36.7,99.8,1
Memphis Grizzlies,55,27,33.9,99.7,1
Portland Trail Blazers,51,31,36.2,101.2,1
Dallas Mavericks,50,32,35.2,104.2,1
New Orleans Pelicans,45,37,37.0,104.6,1
Oklahoma City Thunder,45,37,33.9,102.3,0
Phoenix Suns,39,43,34.1,103.8,0
Utah Jazz,38,44,34.3,102.3,0
Denver Nuggets,30,52,32.5,105.2,0
Sacramento Kings,29,53,34.1,106.2,0
Los Angeles Lakers,21,61,34.4,107.9,0
Minnesota Timberwolves,16,66,33.2,108.8,0
Cleveland Cavaliers,57,25,36.2,101.9,1
Toronto Raptors,56,26,37.0,102.3,1
Charlotte Hornets,48,34,36.2,102.3,1
Atlanta Hawks,48,34,35.0,99.3,1
Miami Heat,48,34,33.6,102.4,1
Boston Celtics,48,34,33.5,100.7,1
Indiana Pacers,45,37,35.1,100.7,1
Detroit Pistons,44,38,34.5,102.6,1
Chicago Bulls,42,40,37.1,103.6,0
Washington Wizards,41,41,35.8,103.4,0
Orlando Magic,35,47,35.0,104.2,0
Milwaukee Bucks,33,49,34.5,106.5,0
