Team,Wins,Losses,ThreePointPct,DefensiveRating,MadePlayoffs
Boston Celtics,58,24,38.2,110.5,1
Miami Heat,46,36,35.8,112.3,1
Philadelphia 76ers,52,30,37.1,111.2,1
New York Knicks,50,32,36.5,113.1,1
Toronto Raptors,44,38,34.9,114.2,1
Denver Nuggets,56,26,38.5,109.8,1
Los Angeles Lakers,54,28,37.2,110.4,1
Golden State Warriors,51,31,39.1,111.6,1
Phoenix Suns,49,33,36.8,112.9,1
Dallas Mavericks,48,34,36.2,113.5,1
Orlando Magic,47,35,35.1,112.1,1
Sacramento Kings,46,36,38.9,115.3,0
Milwaukee Bucks,45,37,37.4,113.8,1
Atlanta Hawks,41,41,35.6,116.2,0
Chicago Bulls,39,43,34.8,117.1,0
Cleveland Cavaliers,38,44,33.9,118.5,0
Washington Wizards,37,45,33.2,119.3,0
Detroit Pistons,35,47,32.1,120.8,0
Charlotte Hornets,33,49,31.5,122.1,0
New Orleans Pelicans,32,50,30.8,123.4,0
